"region_a","region_b","weight","total_streams_a"
"nl","in",1007,1238457931
"vn","cl",50,183269158
"ec","cr",5377,258948980
"cl","at",58,1569157590
"za","ch",2928,82232947
"pl","lt",1108,778042542
"nz","fi",1941,238911758
"nl","cz",2300,1238457931
"no","au",3051,569319503
"se","hk",791,944441421
"hu","do",75,106950270
"dk","bg",2233,420215977
"py","il",51,286041437
"sg","fi",1515,233681017
"tr","be",368,1249971688
"do","bo",3890,107506637
"bg","ar",79,25808515
"no","ie",3020,569319503
"il","ar",103,114722000
"sv","hu",271,104100002
"se","is",1833,944441421
"sk","lv",3264,59822451
"gb","ch",3351,2239079359
"de","br",102,2848080355
"nz","hu",2719,238911758
"ni","is",230,39326273
"vn","nl",466,183269158
"sk","cr",323,59822451
"lv","be",3865,26516393
"cr","at",320,169967588
"gr","be",1319,160374254
"pl","id",172,778042542
"sg","hu",2031,233681017
"no","de",1909,569319503
"ph","jp",477,1335593544
"pl","at",916,778042542
"tw","it",120,235686855
"nl","gr",838,1238457931
"no","lu",230,569319503
"tw","ph",1275,235686855
"jp","ee",95,1288700883
"hk","do",75,110866207
"global","br",227,29060235997
"uy","do",3241,121078533
"no","global",2918,569319503
"ni","hk",189,39326273
"sv","fi",230,104100002
"ph","il",557,1335593544
"gt","global",1039,211651568
"in","ch",1202,1196976949
"za","th",366,82232947
"lu","ar",7,1665635
"jp","in",432,1288700883
"dk","cl",33,420215977
"co","ch",196,553597716
"sg","gb",2363,233681017
"ec","ca",192,258948980
"lt","at",2630,36780208
"hk","ch",1052,110866207
"is","id",383,36469203
"nz","gb",3598,238911758
"uy","ch",223,121078533
"vn","sk",384,183269158
"in","do",38,1196976949
"ro","hk",1107,66480910
"tw","sg",2069,235686855
"vn","es",60,183269158
"ca","be",3346,1244580639
"no","fr",1059,569319503
"sk","ca",2792,59822451
"sv","gb",257,104100002
"hu","ch",3710,106950270
"lt","global",3745,36780208
"sg","br",213,233681017
"nl","ee",2421,1238457931
"my","it",292,296407407
"ro","is",2556,66480910
"fi","be",2343,292593197
"ee","bo",194,26079298
"nz","br",154,238911758
"jp","gr",10,1288700883
"uy","th",11,121078533
"nl","ni",278,1238457931
"vn","dk",410,183269158
"za","do",76,82232947
"gb","do",75,2239079359
"lt","id",539,36780208
"is","at",2139,36469203
"jp","cz",100,1288700883
"no","hn",269,569319503
"pa","be",187,103847109
"vn","bg",486,183269158
"sv","br",49,104100002
"fi","ec",152,292593197
"id","global",1089,1522282447
"it","ca",409,2125984974
"py","hu",49,286041437
"cl","au",58,1569157590
"sv","jp",72,104100002
"hu","gr",1353,106950270
"gt","br",42,211651568
"mx","is",441,3730515231
"gb","ee",3184,2239079359
"pl","de",709,778042542
"lt","hn",314,36780208
"my","lv",1673,296407407
"hk","cz",1037,110866207
"uy","cz",107,121078533
"no","id",431,569319503
"pe","is",205,709049813
"pa","co",4438,103847109
"cr","au",321,169967588
"pl","ie",1004,778042542
"fi","co",70,292593197
"nz","jp",85,238911758
"hk","gr",502,110866207
"br","bg",191,4201011223
"us","hk",1199,7986316247
"pt","is",1833,196362474
"uy","gr",73,121078533
"uy","nz",86,121078533
"sk","sg",1755,59822451
"pa","no",134,103847109
"lu","bo",15,1665635
"za","ee",2712,82232947
"tw","ca",994,235686855
"my","cr",335,296407407
"fr","cr",402,1747249125
"is","fr",993,36469203
"hn","hk",229,80897137
"nl","do",127,1238457931
"sg","jp",399,233681017
"tr","gt",63,1249971688
"hu","cz",3949,106950270
"ph","hu",835,1335593544
"ie","ca",3848,301787717
"pa","ec",4781,103847109
"za","ni",266,82232947
"lt","fr",1184,36780208
"nz","il",1832,238911758
"gt","gb",199,211651568
"pl","au",863,778042542
"cz","cr",329,133732925
"py","fi",23,286041437
"us","is",2433,7986316247
"pt","hk",865,196362474
"sg","il",1482,233681017
"no","lt",2694,569319503
"pl","lu",105,778042542
"jp","ch",83,1288700883
"is","hn",259,36469203
"no","at",2588,569319503
"sv","il",264,104100002
"ph","fi",530,1335593544
"pe","hk",217,709049813
"in","ee",1131,1196976949
"do","ar",2827,107506637
"uy","in",11,121078533
"il","bo",209,114722000
"vn","pe",200,183269158
"tr","pt",288,1249971688
"mx","hk",282,3730515231
"lv","gt",215,26516393
"za","pa",134,82232947
"ee","ar",41,26079298
"tw","cr",175,235686855
"gb","cz",2768,2239079359
"my","ca",2018,296407407
"fr","ca",1195,1747249125
"hk","ee",1075,110866207
"jp","do",1,1288700883
"is","global",2740,36469203
"uy","ee",51,121078533
"tr","no",286,1249971688
"gt","fi",170,211651568
"ie","cr",318,301787717
"za","nz",3244,82232947
"za","gr",1327,82232947
"th","is",214,373758083
"is","de",1603,36469203
"py","gb",49,286041437
"uy","ni",3175,121078533
"tr","ec",79,1249971688
"pa","gt",4671,103847109
"tw","lv",588,235686855
"lt","au",3449,36780208
"is","ie",2692,36469203
"global","do",867,29060235997
"ph","gb",1132,1335593544
"hu","ee",3293,106950270
"pl","fr",436,778042542
"it","cr",194,2125984974
"ch","br",162,227284570
"tr","co",76,1249971688
"za","cz",2499,82232947
"gr","ec",147,160374254
"id","hk",1208,1522282447
"tw","tr",79,235686855
"in","gr",509,1196976949
"lt","ie",3503,36780208
"is","au",2709,36469203
"py","br",73,286041437
"nl","ch",2937,1238457931
"uy","pa",3742,121078533
"lv","ec",198,26516393
"za","in",1145,82232947
"lt","de",2019,36780208
"gr","co",80,160374254
"pl","hn",163,778042542
"th","hk",875,373758083
"cz","ca",2775,133732925
"ph","br",137,1335593544
"sk","it",507,59822451
"sk","ph",696,59822451
"lv","co",117,26516393
"in","cz",1195,1196976949
"de","ch",3530,2848080355
"pl","cr",209,778042542
"gb","br",183,2239079359
"it","fr",392,2125984974
"cz","au",3008,133732925
"us","pl",691,7986316247
"ph","in",1231,1335593544
"my","ie",1796,296407407
"hk","fi",791,110866207
"uy","fi",41,121078533
"tr","dk",221,1249971688
"sv","do",4537,104100002
"gt","ee",183,211651568
"sk","id",436,59822451
"za","vn",584,82232947
"my","de",796,296407407
"pl","lv",1080,778042542
"fr","de",937,1747249125
"us","mx",514,7986316247
"sg","do",75,233681017
"nl","jp",77,1238457931
"lv","es",85,26516393
"tw","fr",316,235686855
"gr","es",81,160374254
"is","ca",2976,36469203
"nz","do",75,238911758
"dk","be",2631,420215977
"tr","bg",356,1249971688
"ie","fr",1151,301787717
"hu","fi",2307,106950270
"za","br",191,82232947
"in","gb",1092,1196976949
"gr","dk",997,160374254
"lt","ca",3276,36780208
"nl","il",1460,1238457931
"uy","hu",107,121078533
"ni","my",273,39326273
"id","bo",136,1522282447
"my","lu",114,296407407
"it","hn",179,2125984974
"py","cz",49,286041437
"pt","mx",702,196362474
"tr","sk",366,1249971688
"ec","at",185,258948980
"sk","lt",3249,59822451
"ph","nz",1613,1335593544
"ph","gr",211,1335593544
"pa","cl",4684,103847109
"lv","dk",2600,26516393
"tw","hn",177,235686855
"tw","sv",176,235686855
"fi","cl",26,292593197
"my","au",2318,296407407
"ro","ar",72,66480910
"gr","bg",1577,160374254
"fr","au",1179,1747249125
"py","gr",45,286041437
"py","nz",49,286041437
"tr","es",59,1249971688
"se","my",947,944441421
"sk","at",2700,59822451
"ie","hn",269,301787717
"ph","cz",812,1335593544
"pe","mx",4403,709049813
"pa","nl",193,103847109
"th","bo",67,373758083
"pt","pl",699,196362474
"lv","bg",3886,26516393
"in","br",58,1196976949
"za","gb",3178,82232947
"gb","fi",2077,2239079359
"fi","dk",1967,292593197
"my","fr",584,296407407
"is","cr",298,36469203
"us","tw",620,7986316247
"es","ar",2722,2478566814
"co","br",53,553597716
"vn","be",478,183269158
"gt","cz",205,211651568
"ro","my",1663,66480910
"tw","de",457,235686855
"hk","br",172,110866207
"global","gb",3827,29060235997
"it","ie",472,2125984974
"py","pa",4531,286041437
"uy","br",59,121078533
"ie","de",1992,301787717
"se","ar",67,944441421
"pa","bg",145,103847109
"tw","ie",828,235686855
"fi","bg",2217,292593197
"gr","cl",53,160374254
"it","de",454,2125984974
"hn","bo",4671,80897137
"ph","pa",80,1335593544
"sk","ro",3182,59822451
"in","hu",1225,1196976949
"cr","ca",324,169967588
"ca","bg",3526,1244580639
"th","pl",56,373758083
"py","ee",33,286041437
"pt","bo",505,196362474
"sg","ch",1976,233681017
"tr","nl",282,1249971688
"pa","es",3236,103847109
"lu","is",211,1665635
"tw","py",49,235686855
"pl","ca",900,778042542
"us","bo",310,7986316247
"ni","ar",3017,39326273
"gt","gr",130,211651568
"hu","br",222,106950270
"pa","dk",124,103847109
"lv","cl",51,26516393
"lu","hk",98,1665635
"za","fi",1781,82232947
"tw","au",950,235686855
"tw","se",582,235686855
"my","hn",274,296407407
"hk","gb",1340,110866207
"nz","ch",2942,238911758
"py","ni",4279,286041437
"uy","gb",102,121078533
"ie","au",4408,301787717
"tw","lu",48,235686855
"th","mx",112,373758083
"it","au",442,2125984974
"il","hk",890,114722000
"no","it",475,569319503
"cl","ca",58,1569157590
"mx","bo",4789,3730515231
"ph","ni",132,1335593544
"za","hu",3053,82232947
"fi","es",63,292593197
"lt","cr",356,36780208
"jp","il",88,1288700883
"tr","cl",56,1249971688
"sv","ch",363,104100002
"hu","gb",3285,106950270
"ph","ee",727,1335593544
"pe","bo",5342,709049813
"in","fi",883,1196976949
"id","ar",65,1522282447
"bo","ar",3914,121960058
"nl","hu",2611,1238457931
"uy","il",107,121078533
"no","cr",323,569319503
"ph","do",51,1335593544
"gt","ch",324,211651568
"tw","ro",672,235686855
"my","id",3322,296407407
"jp","gb",81,1288700883
"th","ar",3,373758083
"sg","in",1755,233681017
"ec","de",161,258948980
"no","lv",2815,569319503
"sk","ie",2861,59822451
"lt","it",544,36780208
